本文,いいね数,リポスト数,リプライ数,投稿日時,ユーザー名,フォロワー数,ポストURL
"ファンアートタグは全て巡回してますが
そろそろAIファンアートが
見分けられなくなってきました(・灬・)

他の人が書いたものを学習させたり
読み込ませるのだけはやめましょうな",6111,597,119,Sat Feb 14 12:41:16 +0000 2026,QnlyQ,0,https://x.com/QnlyQ/status/2022652359885947374
"「AIあんの」の中身はGemini

これのヤバさ

リハックで「Geminiの政治利用は規約違反では？」と聞かれた安野氏の回答がこれ

「規約違反かどうかはこれから確認します」

党首が利用規約を読んでいなかった
Geminiにすら聞いてなかった

Googleは選挙関連の回答を制限する方針を発表しててGemini自体が政治の質問を拒否する仕様にされたほど厳しい

政治利用がグレーどころか真っ黒なのは
『業界の常識』

深刻なのは
AIあんのに投げた質問
これ全部Googleのサーバーに流れてるでしょう
政治的傾向データが米国企業に筒抜け

エリートぶったガワを被った素人政党ってのがバレた瞬間だった🤣
 https://t.co/pGJSErz9o6",2596,657,28,Sat Feb 14 12:22:37 +0000 2026,zetu_rrr,0,https://x.com/zetu_rrr/status/2022647667776761990
"最近大学教授に聞いた話。「レポートに誤字があるとテンションが上がる」とのこと。AIを使わず自分で書いたことがわかるから。

AIがことばを使えるようになったことで、本来""ハズレ""だった誤字の価値がひっくり返り、""アタリ""になっている。想定していなかったことばの変化だ。",3896,466,58,Sat Feb 14 11:16:04 +0000 2026,yuru_mizuno,0,https://x.com/yuru_mizuno/status/2022630917437788627
"シリーズ記事みたいですね。日本に、希望が持てる流れです。
""若手も「同級生より収入が大幅に多くて驚いた。駅近の築浅マンションの寮に月1万円で入れ、暮らしやすくお金もたまる」と話す""

関電工「高卒」1000万円超、ブルーカラー人材を奪取　AI普及で電気工事に特需 https://t.co/8NoO1PhIBV",1016,307,10,Sat Feb 14 11:01:47 +0000 2026,swim_shu,0,https://x.com/swim_shu/status/2022627325473624415
AIではなく、2人とも実在するアイドルがやっているところが見どころ https://t.co/eKKkawJPp7,5885,1096,64,Sat Feb 14 10:49:04 +0000 2026,tamaki_Cherry,0,https://x.com/tamaki_Cherry/status/2022624123764248971
「人妻と旅行」 https://t.co/XIQRwgerIv,2210,37,63,Sat Feb 14 10:40:35 +0000 2026,ai_mukai24,0,https://x.com/ai_mukai24/status/2022621991556235740
"「AIすごい！」なCMなどを見ていると、漫画どころか4コマ漫画も読めない人が増えているのかも？と思った
二元論が多いと言うより「2つまでしか認識・処理できない」のかもしれない https://t.co/cpfwpF1JLl",3958,859,39,Sat Feb 14 10:20:00 +0000 2026,TalkofFox,0,https://x.com/TalkofFox/status/2022616808914665516
#初音ミク　シナミク🤍🩵　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SFW illustration,1754,213,6,Sat Feb 14 10:01:00 +0000 2026,cocotte_ai,0,https://x.com/cocotte_ai/status/2022612028452413695
"ケイ / Kei
ブルーアーカイブ（ブルアカ / BlueArchive）                                                                                                                                                                                                                                   SFW illustration",1338,100,13,Sat Feb 14 10:00:00 +0000 2026,sarah_ai_illu,0,https://x.com/sarah_ai_illu/status/2022611775527756169
"【警告】
中国人が高市さんと自分のAI動画を作り拡散しています。
自分は一切許可を出していません。
こういうのは辞めて下さい。
 https://t.co/rjrPohxa4g",8255,842,472,Sat Feb 14 09:52:03 +0000 2026,hezuruy,0,https://x.com/hezuruy/status/2022609775922680065
"関電工「高卒」1000万円超▶日本でも始まったブルーカラールネサンス。AIはホワイトカラーを駆逐する。ならば日本に必要なのはFランク大学ではなく職業訓練所だ。大学の数を半分にし、職業訓練所の充実を。米国は既に動き出している。
https://t.co/Ndoneh40Dr",3502,935,61,Sat Feb 14 09:36:31 +0000 2026,martytaka777,0,https://x.com/martytaka777/status/2022605868244816119
なんだAIか https://t.co/V4kZEAlvqD,2540,215,6,Sat Feb 14 09:13:08 +0000 2026,WaleaNuiloa,0,https://x.com/WaleaNuiloa/status/2022599982285791650
私が大学生だったらバイトせずに、AI駆使してX垢10個ぐらい運用して稼ぐな…,2073,121,40,Sat Feb 14 08:26:02 +0000 2026,tamago_ayumii,0,https://x.com/tamago_ayumii/status/2022588128444453023
"多くの人はAIによって自分の生産性が爆増→収入が上がると期待してるけど、皆が同じツール使って同じ改善してるので生存競争が激化してるだけ。

逆に自動化できない箇所の価値が相対的に高まるので、浮いたリソースをAI代替性の低い領域に早めに投資しておかないと詰む。",850,106,0,Sat Feb 14 08:24:56 +0000 2026,ka2aki86,0,https://x.com/ka2aki86/status/2022587853772071180
"もしAIが『キリストの顔』を再現したら？ 聖骸布から蘇る、あまりにリアルな肖像。

• 古代の遺物をAIが3D解析して復元
• 想像を遥かに超える、人間味に満ちた表情
• 科学と宗教が交差する、現代ならではの体験

これが正しいAIの使い方
 https://t.co/bYzI3IYf06",1050,144,50,Sat Feb 14 08:05:05 +0000 2026,investorMM,0,https://x.com/investorMM/status/2022582855709397074
"＃AIじゃないよ  
マイケル・ジャクソンのMV「Black or White」の映像。  
モーフィングという、映画やアニメーションで使われるSFXのひとつで、コンピュータグラフィックスの手法。  
35年前の技術が今のAIよりすごいと再評価されている。  
「とんねるずのみなさんのおかげです」でこのパロディが放送された。  
#マイケルジャクソン #とんねるず",1000,132,14,Sat Feb 14 08:04:43 +0000 2026,kitanisuto30395,0,https://x.com/kitanisuto30395/status/2022582766488162702
"＜動画更新＞
奇跡連発！強敵AI相手にまさかの結果に！？【デヴィエーション・ゲーム】

本編
▶️ https://t.co/EgMCOU1S6e

#HOKAGO_GAMING_LIFE #deviation #有岡大貴 #神山智洋 #長尾謙杜 https://t.co/1Nf5G3lA4o",5312,1253,6,Sat Feb 14 08:03:00 +0000 2026,HOKAGO_GAMING,0,https://x.com/HOKAGO_GAMING/status/2022582331672871384
"#降幡 検定
1部ありがと🫶🏻
2部もよろしくね

📖🖊️
#AIOPENER https://t.co/R3fvV332dN",1877,163,28,Sat Feb 14 08:02:01 +0000 2026,furihata_ai,0,https://x.com/furihata_ai/status/2022582086176248014
不老不死やろ https://t.co/hZiZGwyumH,958,43,6,Sat Feb 14 08:00:13 +0000 2026,TheAnswer_3_AI,0,https://x.com/TheAnswer_3_AI/status/2022581630393807107
"OpenAI「アニメに映画に小説に音楽、ぜーんぶウチのChatGPTに喰わせてパワーアップさせたろ」

クリエイター「著作権侵害やめて！」

OpenAI「これはAI学習だから違法じゃありませーん」

DeepSeek「ChatGPTをAIに喰わせてパワーアップさせたろ」

OpenAI「著作権侵害やめて！」

……バカですか？",2661,855,10,Sat Feb 14 08:00:02 +0000 2026,V7NnRqa0uZbvFqZ,0,https://x.com/V7NnRqa0uZbvFqZ/status/2022581586852524129
